iter	MultiClass
0	1.585857563
1	1.568586536
2	1.540506447
3	1.517020528
4	1.4899232
5	1.463664846
6	1.4462938
7	1.42479376
8	1.404686605
9	1.387090331
10	1.372700019
11	1.355432496
12	1.334978658
13	1.316356542
14	1.293034938
15	1.268751479
16	1.251302193
17	1.236237255
18	1.215407186
19	1.198059983
20	1.17807086
21	1.157754232
22	1.143087882
23	1.126261821
24	1.111065935
25	1.095271625
26	1.078111816
27	1.065684341
28	1.050461859
29	1.036206519
30	1.020022424
31	1.004493152
32	0.9922135622
33	0.9763777167
34	0.9644329624
35	0.9507346709
36	0.9371431161
37	0.9242934202
38	0.910483835
39	0.8971687429
40	0.8859291761
41	0.8745471505
42	0.8634957872
43	0.8532278727
44	0.8422752069
45	0.8293823368
46	0.8197555554
47	0.808881511
48	0.7977030588
49	0.7884859992
50	0.7794736932
51	0.7687157796
52	0.7578295816
53	0.7503206817
54	0.7403209042
55	0.7326140644
56	0.7232155807
57	0.7143898804
58	0.7056272191
59	0.6966931515
60	0.6889737018
61	0.6806693139
62	0.6730564451
63	0.6676867236
64	0.660080303
65	0.6511674808
66	0.6452946262
67	0.6382278923
68	0.6321880411
69	0.6250697882
70	0.6168885425
71	0.6108431864
72	0.6032660833
73	0.5942545126
74	0.5875230387
75	0.5785571904
76	0.5718581963
77	0.5652012738
78	0.5568104133
79	0.5496662541
80	0.5413603638
81	0.5323070918
82	0.5262762654
83	0.5203916049
84	0.5138758339
85	0.5073611664
86	0.5018388817
87	0.4935240309
88	0.4862751229
89	0.4801350132
90	0.4741165163
91	0.4689857956
92	0.462860047
93	0.455920887
94	0.4492132225
95	0.4424307932
96	0.4350873522
97	0.4293072136
98	0.4241688902
99	0.4172686858
100	0.4090118236
101	0.4043468882
102	0.3996629957
103	0.3941768533
104	0.3887811538
105	0.3836367558
106	0.3791382694
107	0.3738678556
