iter	Passed	Remaining
0	674	674117
1	1356	676747
2	2068	687446
3	2774	690952
4	3477	692046
5	4062	673076
6	4789	679429
7	5519	684371
8	6154	677702
9	6766	669930
10	7356	661407
11	8040	662034
12	8753	664560
13	9341	657889
14	10025	658333
15	10703	658275
16	11395	658941
17	12081	659094
18	12793	660561
19	13483	660704
20	14096	657154
21	14803	658091
22	15413	654758
23	16023	651605
24	16685	650734
25	17381	651119
26	18083	651682
27	18697	649073
28	19306	646450
29	19913	643866
30	20623	644643
31	21334	645372
32	21929	642602
33	22544	640522
34	23294	642266
35	24040	643752
36	24749	644145
37	25458	644492
38	26046	641804
39	26651	639643
40	27266	637778
41	27884	636030
42	28581	636108
43	29168	633742
44	29873	633990
45	30583	634269
46	31307	634804
47	31991	634502
48	32597	632657
49	33279	632319
50	33989	632477
51	34695	632529
52	35296	630682
53	35998	630647
54	36680	630235
55	37279	628430
56	37980	628342
57	38586	626692
58	39358	627729
59	40062	627646
60	40743	627186
61	41332	625320
62	42014	624882
63	42626	623407
64	43237	621952
65	43844	620463
66	44525	620031
67	45254	620250
68	45842	618536
69	46438	616974
70	47116	616496
71	47706	614877
72	48311	613488
73	48893	611830
74	49574	611414
75	50276	611257
76	50859	609651
77	51546	609311
78	52183	608369
79	52891	608252
80	53571	607800
81	54191	606684
82	54937	606957
83	55632	606654
84	56224	605240
85	56931	605061
86	57524	603672
87	58142	602564
88	58878	602678
89	59578	602409
90	60180	601140
91	60924	601297
92	61699	601738
93	62422	601651
94	63066	600791
95	63787	600661
96	64426	599761
97	65211	600216
98	65991	600586
99	66792	601133
100	67543	601204
101	68313	601428
102	68953	600501
103	69637	599950
104	70374	599855
105	71041	599163
106	71809	599307
107	72546	599182
